datestart datestop duration tstart tstop label mag_start mag_stop
2005:170:22:30:00.000 2005:171:14:30:00.000 57600.000 235607464.184 235665064.184 "instrument notify" -2.0 0.0
2005:171:14:30:00.000 2005:171:15:30:00.000 3600.000 235665064.184 235668664.184 "no action" 0.0 40.0
2005:171:15:30:00.000 2005:171:17:30:00.000 7200.000 235668664.184 235675864.184 "instrument notify" -2.0 0.0
2005:171:17:30:00.000 2005:171:18:30:00.000 3600.000 235675864.184 235679464.184 "no action" 0.0 40.0
2005:171:18:30:00.000 2005:171:21:30:00.000 10800.000 235679464.184 235690264.184 "instrument notify" -2.0 0.0
2005:171:21:30:00.000 2005:171:22:30:00.000 3600.000 235690264.184 235693864.184 "no action" 0.0 40.0
2005:171:22:30:00.000 2005:287:06:30:00.000 9964800.000 235693864.184 245658664.184 "instrument notify" -2.0 0.0
2005:287:06:30:00.000 2005:287:08:30:00.000 7200.000 245658664.184 245665864.184 "partial mitigation" -2.9 -2.0
2005:287:08:30:00.000 2005:288:05:30:00.000 75600.000 245665864.184 245741464.184 "instrument notify" -2.0 0.0
2005:288:05:30:00.000 2005:288:12:30:00.000 25200.000 245741464.184 245766664.184 "partial mitigation" -2.9 -2.0
2005:288:12:30:00.000 2005:289:05:30:00.000 61200.000 245766664.184 245827864.184 "instrument notify" -2.0 0.0
2005:289:05:30:00.000 2005:289:14:30:00.000 32400.000 245827864.184 245860264.184 "partial mitigation" -2.9 -2.0
2005:289:14:30:00.000 2005:290:05:30:00.000 54000.000 245860264.184 245914264.184 "instrument notify" -2.0 0.0
2005:290:05:30:00.000 2005:290:16:30:00.000 39600.000 245914264.184 245953864.184 "partial mitigation" -2.9 -2.0
2005:290:16:30:00.000 2005:291:04:30:00.000 43200.000 245953864.184 245997064.184 "instrument notify" -2.0 0.0
2005:291:04:30:00.000 2005:291:18:30:00.000 50400.000 245997064.184 246047464.184 "partial mitigation" -2.9 -2.0
2005:291:18:30:00.000 2005:291:23:30:00.000 18000.000 246047464.184 246065464.184 "instrument notify" -2.0 0.0
2005:291:23:30:00.000 2005:292:01:30:00.000 7200.000 246065464.184 246072664.184 "partial mitigation" -2.9 -2.0
2005:292:01:30:00.000 2005:292:04:30:00.000 10800.000 246072664.184 246083464.184 "instrument notify" -2.0 0.0
2005:292:04:30:00.000 2005:292:20:30:00.000 57600.000 246083464.184 246141064.184 "partial mitigation" -2.9 -2.0
2005:292:20:30:00.000 2005:292:21:30:00.000 3600.000 246141064.184 246144664.184 "instrument notify" -2.0 0.0
2005:292:21:30:00.000 2005:292:22:30:00.000 3600.000 246144664.184 246148264.184 "partial mitigation" -2.9 -2.0
2005:292:22:30:00.000 2005:292:23:30:00.000 3600.000 246148264.184 246151864.184 "instrument notify" -2.0 0.0
2005:292:23:30:00.000 2005:322:14:30:00.000 2559600.000 246151864.184 248711464.184 "partial mitigation" -2.9 -2.0
2005:322:14:30:00.000 2005:322:15:30:00.000 3600.000 248711464.184 248715064.184 "instrument notify" -2.0 0.0
2005:322:15:30:00.000 2005:322:17:30:00.000 7200.000 248715064.184 248722264.184 "partial mitigation" -2.9 -2.0
2005:322:17:30:00.000 2005:322:18:30:00.000 3600.000 248722264.184 248725864.184 "instrument notify" -2.0 0.0
2005:322:18:30:00.000 2005:322:20:30:00.000 7200.000 248725864.184 248733064.184 "partial mitigation" -2.9 -2.0
2005:322:20:30:00.000 2005:322:23:30:00.000 10800.000 248733064.184 248743864.184 "instrument notify" -2.0 0.0
2005:322:23:30:00.000 2005:323:13:30:00.000 50400.000 248743864.184 248794264.184 "partial mitigation" -2.9 -2.0
2005:323:13:30:00.000 2005:324:02:30:00.000 46800.000 248794264.184 248841064.184 "instrument notify" -2.0 0.0
2005:324:02:30:00.000 2005:324:10:30:00.000 28800.000 248841064.184 248869864.184 "partial mitigation" -2.9 -2.0
2005:324:10:30:00.000 2005:324:11:30:00.000 3600.000 248869864.184 248873464.184 "instrument notify" -2.0 0.0
2005:324:11:30:00.000 2005:324:12:30:00.000 3600.000 248873464.184 248877064.184 "partial mitigation" -2.9 -2.0
2005:324:12:30:00.000 2005:325:05:30:00.000 61200.000 248877064.184 248938264.184 "instrument notify" -2.0 0.0
2005:325:05:30:00.000 2005:325:07:30:00.000 7200.000 248938264.184 248945464.184 "partial mitigation" -2.9 -2.0
2005:325:07:30:00.000 2006:023:10:30:00.000 5454001.000 248945464.184 254399465.184 "instrument notify" -2.0 0.0
2006:023:10:30:00.000 2006:023:11:30:00.000 3600.000 254399465.184 254403065.184 "no action" 0.0 40.0
2006:023:11:30:00.000 2006:023:14:30:00.000 10800.000 254403065.184 254413865.184 "instrument notify" -2.0 0.0
